序号,机构名称,地址,邮政编码,区县代码,区县名称,医院等级,医院等次,大类,中类,小类,经济类型名称,机构管理名称
161,北京化工实验厂华仁医院,朝阳区垂杨柳中街甲1号,100022,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,私有,非营利性医疗机构
162,北京黄枢微创骨伤中医医院,北京市朝阳区金台路25号楼北侧,100026,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
163,北京惠兰医院,北京市朝阳区望京北路18号401室,100102,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
164,北京基础美医疗美容医院,北京市朝阳区广渠路大街28号珠江帝景家园商铺甲209号,100022,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,股份合作,营利性医疗机构
165,北京基恩医院,北京市朝阳区南湖东园122楼2层S-05、S-08、S-09、3层T-3号,100102,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
166,北京济民中医医院,北京市朝阳区八里庄西里61号楼1-2层B区,100025,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
167,北京建国医院,北京市朝阳区西大望路2号,100025,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
168,北京金凤凰医院,北京市朝阳区成寿寺路136号院2号楼101-102商铺,100078,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
169,北京京城皮肤病医院,北京市朝阳区得胜门外双泉堡甲4号,100192,110105,朝阳区,三级,未评,A.医院,A5.专科医院,A522.皮肤病医院,股份合作,营利性医疗机构
170,北京京师中医医院,北京市朝阳区团结湖北三条甲4号,100026,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
171,北京精诚博爱康复医院,北京市朝阳区崔各庄乡南皋路188号,100015,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A527.康复医院,其它内资,营利性医疗机构
172,北京军山中医医院,北京市朝阳区十八里店乡老君堂村村北（瑞兴隆综合市场西侧）君堂路479号,100023,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
173,北京凯尔医院,北京市朝阳区望京湖光中街8号1号楼西段第二、四层,100102,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
174,北京黎明医院,北京市朝阳区世纪东方嘉园212楼3号,100023,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
175,北京丽都医疗美容医院,北京市朝阳区慧忠里103楼D座,100101,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
176,北京炼焦化学厂医院,北京市朝阳区化工路东口,100023,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
177,北京龙脊中医骨伤医院,北京市朝阳区广顺北大街17号四层B03/B03a号,100102,110105,朝阳区,未评,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
178,北京卢安医院,北京市朝阳区孙河乡康营东路康营家园回迁安置房小区E06楼、E07楼,100015,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
179,北京玛丽妇婴医院,北京朝阳区和平里北街5号,100013,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A518.妇产（科）医院,其它内资,营利性医疗机构
180,北京麦瑞骨科医院,北京市朝阳区北苑路1号,100012,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A526.骨科医院,其它内资,营利性医疗机构
181,北京美迪中医皮肤病医院,北京市朝阳区高碑店乡半壁店村惠河南街1092号,100022,110105,朝阳区,二级,未评,A.医院,A2.中医医院,A229.其它中医专科医院,私有,营利性医疗机构
182,北京美莱医疗美容医院,北京市朝阳外大街227号,100020,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
183,北京美联臣医疗美容医院,北京市朝阳区东三环南路乙52楼3、5、6、7、8号,100022,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
184,北京美雅枫医疗美容医院,北京市朝阳区望京西园三区315楼,100102,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
185,北京美中宜和妇儿医院,北京市朝阳区芳园西路9号，朝阳区四得公园将台西路9-9号,100016,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
186,北京民众眼科医院,北京市朝阳区林萃西里22号楼,100192,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A512.眼科医院,其它内资,营利性医疗机构
187,北京明德医院,北京市朝阳区酒仙桥北路9号（厂区）2、3、4号楼,100015,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
188,北京南区口腔医院,北京市朝阳区华威北里24号楼,100021,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A511.口腔医院,其它内资,营利性医疗机构
189,北京年轮中医骨科医院,北京市朝阳区八里庄北里87-89号,100025,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A222.骨伤医院,其它内资,营利性医疗机构
190,北京普祥医院,北京市朝阳区大山子南里甲2号,100015,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
191,北京七星华电科技集团有限责任公司医院,北京市朝阳区大山子北里29楼,100016,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
192,北京全胜医院,北京市朝阳区黄厂南里3号院1号楼,100121,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
193,北京瑞程医院管理有限公司瑞泰口腔医院,北京市朝阳区天居园1号楼,100107,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A511.口腔医院,其它内资,营利性医疗机构
194,北京善尔医院,北京市朝阳区望京西园四区412楼,100102,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
195,北京善方医院,北京市朝阳区工人体育场北路13号院4号楼,100027,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
196,北京圣马克医院,北京市朝阳区东四环南路53号院5号楼,100122,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
197,北京十里河医院,北京市朝阳区十八里店乡周庄村周家庄136号,100022,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
198,北京史三八医疗美容医院,北京市朝阳区广渠门外大街富力城A9-6,100022,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
199,北京世华针刀中医医院,朝阳区十八里店乡十里河路391号,100032,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
200,北京世纪晨光医院,北京朝阳区王四营乡观音惠园1号汇泰大厦,100023,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
201,北京市朝阳区大屯医院,北京市朝阳区慧忠里小区301楼,100101,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
202,北京市朝阳区第三医院,北京市朝阳区双桥南路甲8号，朝阳区延静西里12号楼，朝阳区金盏乡金盏大街2号,100024,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A520.精神病医院,国有全资,非营利性医疗机构
203,北京市朝阳区桓兴肿瘤医院,朝阳区十八里店吕家营南里甲1号,100122,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A514.肿瘤医院,其它内资,非营利性医疗机构
204,北京市朝阳区三环肿瘤医院,北京市朝阳区十里河352号,100122,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A514.肿瘤医院,股份合作,非营利性医疗机构
205,北京市朝阳区双龙医院,北京市朝阳双龙南里101楼,100122,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,非营利性医疗机构
206,北京市朝阳区双桥医院,北京市朝阳区双桥东路,100121,110105,朝阳区,二级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
207,北京市朝阳区中医医院,北京市朝阳区工体南路6号,100020,110105,朝阳区,二级,甲等,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
208,北京市垂杨柳医院,北京市朝阳区垂杨柳南街2号；北京市朝阳区三间房西村甲479号,100022,110105,朝阳区,三级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
209,北京市第五建筑工程公司职工医院,朝阳区红庙柴家湾5号五建职工医院,100025,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
210,北京市第一中西医结合医院,北京市朝阳区金台路13号内2号、朝阳区东坝乡东风大队二条,100026,110105,朝阳区,三级,甲等,A.医院,A3.中西医结合医院,A300.中西医结合医院,国有全资,非营利性医疗机构
211,北京市公安医院,北京市朝阳区豆各庄村甲505号,100121,110105,朝阳区,三级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
212,北京市红十字会急诊抢救中心,北京市朝阳区清河东路1号,100192,110105,朝阳区,三级,未评,A.医院,A5.专科医院,A539.其他专科医院,集体全资,非营利性医疗机构
213,北京市老年病医院,北京市朝阳区华严北里小关西街甲2号,100029,110105,朝阳区,二级,甲等,A.医院,A5.专科医院,A539.其他专科医院,国有全资,非营利性医疗机构
214,北京首都机场医院,北京市首都机场南路东里17 号楼,100621,110105,朝阳区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
215,北京天伦医院,北京市朝阳区朝阳门南大街12号,100020,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
216,北京天使儿童医院,北京市朝阳区广渠东路大郊亭2号,100124,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A519.儿童医院,其它内资,营利性医疗机构
217,北京天使望京妇儿医院,北京市朝阳区望京西园一区117楼,100102,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
218,北京天轩脑病康复医院,北京市朝阳区西坝河东里16号,100028,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A527.康复医院,其它内资,非营利性医疗机构
219,北京通策京朝口腔医院,朝阳八里庄西里100号住邦2000商务楼,100025,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A511.口腔医院,其它内资,营利性医疗机构
220,北京同春堂中医医院,北京市朝阳区管庄杨闸环岛西侧北角P3商业楼,100024,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
221,北京同仁福康眼科医院,朝阳区安立路66号安立花园c座七、八层、九层,100101,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A512.眼科医院,其它内资,营利性医疗机构
222,北京万和颈椎病医院,北京市朝阳区立水桥北8号,102218,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
223,北京维尔口腔医院,北京市朝阳区朝阳区朝阳北路八里庄南里３２号楼,100025,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A511.口腔医院,其它内资,营利性医疗机构
224,北京维特奥医院,北京市朝阳区东三环南路乙52楼9-1,100022,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
225,北京伟达中医肿瘤医院,北京市朝阳区王四营乡官庄大队官庄路100号,100023,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A229.其它中医专科医院,其它内资,营利性医疗机构
226,北京五方桥中医肾病医院,北京市朝阳区王四营乡王四营村339,100023,110105,朝阳区,二级,未评,A.医院,A2.中医医院,A229.其它中医专科医院,股份合作,营利性医疗机构
227,北京五洲妇儿医院,北京市朝阳区西大望路24号,100022,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A518.妇产（科）医院,其它内资,营利性医疗机构
228,北京西直河仁安医院,北京市朝阳区十八里店乡西直河村村委会南院,100023,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
229,北京新时代伊美尔幸福医学美容专科医院,北京市朝阳区东三环北路3号,100027,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
230,北京新世纪妇儿医院,北京市朝阳区望京北路51号院第2号楼、第5号楼,110102,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A518.妇产（科）医院,其它内资,营利性医疗机构
231,北京叶子整形美容医院,北京市朝阳区高碑店北路5-3号,100025,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,私有,营利性医疗机构
232,北京医圣堂中医医院,北京市朝阳区芍药居北里305号一层24-29室,100029,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
233,北京伊美尔医疗美容医院,北京市朝阳区水碓子北里11号,100026,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
234,北京颐康中医医院,朝阳区北苑路172号万兴苑15．16号楼裙房,100101,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
235,北京宜健三业医院,北京市朝阳区新源里111号,100027,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
236,北京艺星医疗美容医院,北京市朝阳区东三环中路（东环南路22号北侧3号楼）,100020,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,私有,营利性医疗机构
237,北京易货通科技发展有限公司京润医院,北京市朝阳区霄云路18号京润水上花园别墅公寓C\C'座,100016,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
238,北京英智康复医院,北京朝阳区八里庄南里5号楼,100025,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A527.康复医院,其它内资,营利性医疗机构
239,北京永寿中医医院,北京市朝阳区十八里店乡横街子村18号,100023,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A229.其它中医专科医院,其它内资,营利性医疗机构
240,北京优联耳鼻喉医院,北京市朝阳区东四环南路53号院7号楼,100122,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A513.耳鼻喉科医院,其它内资,营利性医疗机构
241,北京玉林中医医院,北京市朝阳区八里庄北里305楼,100025,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
242,北京月犁中医医院,北京市朝阳区将台乡铁路大环内将府庄园内,100015,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,非营利性医疗机构
243,北京至微金诺医院,北京市朝阳区建国路29号兴隆家园29号楼,100123,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
244,北京中海中医医院,北京市朝阳区松榆北路5号楼,100021,110105,朝阳区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
245,北京中京苑医学科学研究院恒安中医院,北京市朝阳区西大望路甲27号,100124,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
246,北京中山医院,北京市朝阳区南新园中路112号楼。,100022,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
247,北京中研万康中医医院,北京市朝阳区西坝河南路4号,100028,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
248,北京中医药大学第三附属医院,朝阳区安定门外小关街51号,100029,110105,朝阳区,三级,甲等,A.医院,A3.中西医结合医院,A300.中西医结合医院,国有全资,非营利性医疗机构
249,北京俪婴妇产医院,北京市朝阳区雅成一里16号楼,100025,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A518.妇产（科）医院,其它内资,营利性医疗机构
250,北京垡头大柳树医院,朝阳区王四营路大柳树153号,100023,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A520.精神病医院,其它内资,营利性医疗机构
251,北京芸众本草中医医院,北京市朝阳区望京北路39号10号楼,100102,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
252,北京薇琳医疗美容医院,北京市朝阳区东直门外大街12号,100027,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
253,北京闫三毛骨病中医院,北京市朝阳区黄寺大街3号,100011,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
254,北京嫣然天使儿童医院,北京市朝阳区望京东园519号楼,100102,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A519.儿童医院,其它内资,非营利性医疗机构
255,北内集团总公司北京双井医院,北京市朝阳区广渠路31号,100022,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
256,慈铭健康体检管理集团股份有限公司北京奥亚医院,北京市朝阳区北苑路91号,100101,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
257,慈铭健康体检管理集团股份有限公司北京亮马桥医院,朝阳区亮马桥路39号“第一上海中心”,100125,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
258,对外经济贸易大学医院,朝阳区惠新东街12号,100029,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
259,航空总医院,北京市朝阳区安外北苑3号院,100012,110105,朝阳区,三级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
260,路桥集团第一公路工程局周井医院,朝阳管庄周井大院周井医院,100024,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
261,煤炭总医院,朝阳区西坝河南里29号,100028,110105,朝阳区,三级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
262,民航总医院,北京朝外高井甲一号,100025,110105,朝阳区,三级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
263,首都儿科研究所附属儿童医院,北京朝阳区雅宝路2号,100020,110105,朝阳区,三级,甲等,A.医院,A5.专科医院,A519.儿童医院,国有全资,非营利性医疗机构
264,首都医科大学附属北京安贞医院,北京市朝阳区安贞路2号,100029,110105,朝阳区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
265,首都医科大学附属北京朝阳医院,北京市朝阳区工体南路8号,100020,110105,朝阳区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
266,首都医科大学附属北京地坛医院,北京市朝阳区京顺路东街8号,100015,110105,朝阳区,三级,甲等,A.医院,A5.专科医院,A521.传染病医院,国有全资,非营利性医疗机构
267,卫生部中日友好医院,北京市朝阳区和平里樱花园东街2号,100029,110105,朝阳区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
268,中电建建筑集团有限公司定福庄医院,朝阳区定福庄西街21号楼,100024,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
269,中国藏学研究中心北京藏医院,北京市朝阳区小关北里218号,100029,110105,朝阳区,二级,未评,A.医院,A4.民族医院,A412.藏医院,国有全资,非营利性医疗机构
270,中国舰船研究院北京舰船医院,北京市朝阳区德外双泉堡甲2号,100192,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
271,中国建筑材料科学研究总院管庄东里医院,北京市朝阳区管庄东里1号,100024,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
272,中国老龄事业发展基金会北京松堂关怀医院,朝阳区管庄166号,100024,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,非营利性医疗机构
273,中国医学科学院肿瘤医院,北京市朝阳区潘家园南里17号,100021,110105,朝阳区,三级,甲等,A.医院,A5.专科医院,A514.肿瘤医院,国有全资,非营利性医疗机构
274,中国中医科学院望京医院,北京市朝阳区望京中环南路6号,100102,110105,朝阳区,三级,甲等,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
275,北京博爱堂中医医院,北京市丰台区开阳路一号瀚海花园大厦一层6号,100069,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
276,北京博仁医院,北京市丰台区郑王坟南6号A、B、C座,100071,110106,丰台区,二级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
277,北京长峰医院,北京市丰台区靛厂新村291号,100039,110106,丰台区,二级,合格,A.医院,A1.综合医院,A100.综合医院,私有,营利性医疗机构
278,北京东方京城中医医院,北京市丰台区西四环南路60号,100071,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
279,北京东管头投资管理公司丽泽医院,丰台区丽泽路98号,100073,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
280,北京丰台宝仁中医医院,北京市丰台区莲花池南里14号,100055,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,非营利性医疗机构
281,北京丰台长城医院,北京市丰台区杜家坎15号院,100072,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,其它内资,非营利性医疗机构
282,北京丰台阜仁眼科医院,北京市丰台区太平桥东里24号院,100073,110106,丰台区,一级,合格,A.医院,A5.专科医院,A512.眼科医院,私有,非营利性医疗机构
283,北京丰台广济医院,北京市丰台区花乡纪家庙,100071,110106,丰台区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,私有,非营利性医疗机构
284,北京丰台国泰医院,北京市丰台区靛厂村甲410号,100039,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,私有,非营利性医疗机构
285,北京丰台华康中医医院,北京市丰台区丰管路甲5号-9,100071,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,非营利性医疗机构
286,北京丰台华山医院,北京市丰台区大井东里1号院,100071,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,其它内资,非营利性医疗机构
287,北京丰台建都医院,北京市丰台区南顶路4号,100075,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,私有,非营利性医疗机构
288,北京丰台康泰医院,丰台区张郭庄南路甲1号,100072,110106,丰台区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,其它内资,非营利性医疗机构
289,北京丰台刘家窑中医医院,北京市丰台区东铁匠营顺四条甲63号,100079,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,非营利性医疗机构
290,北京丰台人和中医医院,北京市丰台区南三环中路南木樨园66号,100075,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,非营利性医疗机构
291,北京丰台体坛中医医院,北京丰台方庄芳城园一区1号楼,100078,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,非营利性医疗机构
292,北京丰台祥龙三路居医院,北京市丰台区西客站南路南口丽泽雅园E座,100073,110106,丰台区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
293,北京丰台医星中西医结合医院,北京市丰台区游泳场北路甲9号,100071,110106,丰台区,一级,合格,A.医院,A3.中西医结合医院,A300.中西医结合医院,其它内资,非营利性医疗机构
294,北京丰台医院,北京市丰台区丰台镇西安街1号;北京市丰台区丰台南路99号,100071,110106,丰台区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
295,北京丰台银龄中医医院,丰台区五里店706号,100071,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其他,非营利性医疗机构
296,北京丰台英博中西医结合医院,北京市丰台区新发地陈留村南口,100071,110106,丰台区,一级,合格,A.医院,A3.中西医结合医院,A300.中西医结合医院,私有,非营利性医疗机构
297,北京丰台右安门医院,丰台区右外大街199号,100069,110106,丰台区,二级,合格,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
298,北京丰台中康医院,北京市丰台区西罗园四区34号,100077,110106,丰台区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,股份合作,非营利性医疗机构
299,北京丰台中山医院,丰台区西局南街368号,100073,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,私有,非营利性医疗机构
300,北京丰台众仁堂中医医院,北京市丰台区新村四里26号,100070,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,非营利性医疗机构
301,北京丰台怡康医院,北京市丰台区马家堡路69号西门,100068,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,其它内资,非营利性医疗机构
302,北京丰益肛肠医院,北京市丰台区丰管路22号,100071,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
303,北京凤江中医医院,丰台区永外南窑村2号,100078,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
304,北京国丹白癜风医院,北京市丰台区太平桥路17号,100070,110106,丰台区,三级,未评,A.医院,A5.专科医院,A522.皮肤病医院,私有,营利性医疗机构
305,北京国济中医医院,北京市丰台区莲花池东路132号,100055,110106,丰台区,二级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,非营利性医疗机构
306,北京海华医院,北京市丰台区育菲园东里4号,100070,110106,丰台区,一级,未评,A.医院,A1.综合医院,A100.综合医院,私有,营利性医疗机构
307,北京航天总医院,北京市丰台区万源北路七号,100076,110106,丰台区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
308,北京华博医院,北京市丰台区永外横二条1号,100078,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,私有,营利性医疗机构
309,北京华军中医医院,丰台区南苑团河路北口十号,100076,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
310,北京华夏红旗中医医院,北京市丰台区北甲地路6号玺萌丽苑8号,100067,110106,丰台区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
311,北京金桥医院,北京市丰台区东铁营跃进村一号,100078,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,私有,营利性医疗机构
312,北京京科肝泰医院,北京市丰台区新发地村潘家庙综合服务楼,100070,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
313,北京京科银康医院,北京市丰台区育芳园东里2号楼,100070,110106,丰台区,一级,合格,A.医院,A1.综合医院,A100.综合医院,私有,营利性医疗机构
314,北京开阳中医医院,北京市丰台区右安门外东三条1号,100069,110106,丰台区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
315,北京康济中西医结合医院,北京市丰台区正阳大街67号,100071,110106,丰台区,一级,合格,A.医院,A3.中西医结合医院,A300.中西医结合医院,私有,营利性医疗机构
316,北京康助护理院,北京市丰台区长辛店光明里74号,100072,110106,丰台区,一级,合格,A.医院,A7.护理院(站),A710.护理院,私有,营利性医疗机构
317,北京六一八厂医院,丰台区朱家坟四里13号,100072,110106,丰台区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
